deck,scenario,trials,ready_by_t2_pct,ready_by_t2_se_pp,ready_by_t3_pct,ready_by_t3_se_pp,ready_by_t4_pct,ready_by_t4_se_pp,ready_by_t5_pct,ready_by_t5_se_pp,ready_on_t2_pct,ready_on_t3_pct,ready_on_t4_pct,ready_on_t5_pct,setup_failure_pct,setup_failure_se_pp,started_regi_pct,started_tapu_pct,secret_box_used_pct,blender_used_pct,exploding_energy_used_pct,steven_used_pct,star_alchemy_used_pct,legacy_star_used_pct,mean_mulligans,secret_box_attempts_per_game,secret_box_cost_blocks_per_game,secret_box_missing_axis_per_game,secret_box_missing_regi_axis_per_game,secret_box_missing_line_axis_per_game,secret_box_missing_vstar_axis_per_game,secret_box_missing_payload_axis_per_game,secret_box_missing_treasure_axis_per_game,secret_box_missing_fire_axis_per_game,secret_box_missing_grass_axis_per_game,secret_box_missing_ability_axis_per_game,secret_box_missing_supporter_axis_per_game,secret_box_missing_known_prize_zone_per_game,secret_box_missing_discard_zone_per_game,secret_box_missing_stranded_hand_zone_per_game,secret_box_bench_blocks_per_game,secret_box_arven_banks_per_game,secret_box_steven_banks_per_game,secret_box_gladion_banks_per_game,secret_box_fss_banks_per_game,t2_missing_active_vstar_pct,t2_missing_grass_pct,t2_missing_fire_pct,t2_missing_payload_pct,t2_eligible_regi_start_pct,t2_active_regi_start_pct,t2_pineco_line_start_pct,t2_vstar_held_start_pct,t2_eligible_missed_active_pct,t2_eligible_held_vstar_missed_active_pct
"regidrago-shell","strict-jit/go-first",100,10,3,35,4.7697,50,5,57,4.95076,10,25,15,7,50,5,55,14,0,20,0,14,32,23,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,75,72,75,0,0,0,0,0,0
"regidrago-shell","matchup-flex-jit/go-first",100,21,4.07308,53,4.99099,60,4.89898,73,4.43959,21,32,7,13,40,4.89898,62,12,0,23,0,2,36,35,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,62,65,68,0,0,0,0,0,0
"regidrago-shell","no-discard-control/go-first",100,20,4,57,4.95076,72,4.48999,83,3.75633,20,37,15,11,28,4.48999,57,25,0,15,0,3,34,17,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,67,68,12,0,0,0,0,0,0
"regidrago-shell","strict-jit-turn2-item-lock/go-first",100,5,2.17945,12,3.24962,18,3.84187,20,4,5,7,6,2,82,3.84187,50,15,0,0,0,10,32,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,91,84,89,0,0,0,0,0,0
"regidrago-shell","strict-jit-full-item-lock/go-first",100,1,0.994987,6,2.37487,17,3.75633,21,4.07308,1,5,11,4,83,3.75633,53,18,0,0,0,7,31,32,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,87,76,84,0,0,0,0,0,0
"regidrago-shell","strict-jit-rulebox-ability-lock/go-first",100,7,2.55147,26,4.38634,40,4.89898,49,4.999,7,19,14,9,60,4.89898,57,18,0,13,0,7,39,11,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,82,70,70,0,0,0,0,0,0
"regidrago-shell","strict-jit-combined-lock/go-first",100,0,0,1,0.994987,2,1.4,3,1.70587,0,1,1,1,98,1.4,64,12,0,0,0,5,34,4,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,95,92,94,0,0,0,0,0,0
"regidrago-shell","strict-jit/go-second",100,27,4.43959,53,4.99099,67,4.70213,78,4.14246,27,26,14,11,33,4.70213,56,9,0,31,0,32,35,21,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,64,54,59,0,0,0,0,0,0
"regidrago-shell","matchup-flex-jit/go-second",100,40,4.89898,67,4.70213,73,4.43959,79,4.07308,40,27,6,6,27,4.43959,54,15,0,41,0,42,26,22,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,48,46,51,0,0,0,0,0,0
"regidrago-shell","no-discard-control/go-second",100,46,4.98397,67,4.70213,77,4.20833,85,3.57071,46,21,10,8,23,4.20833,64,13,0,29,0,27,35,7,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,45,37,9,0,0,0,0,0,0
