deck,scenario,trials,ready_by_t2_pct,ready_by_t2_se_pp,ready_by_t3_pct,ready_by_t3_se_pp,ready_by_t4_pct,ready_by_t4_se_pp,ready_by_t5_pct,ready_by_t5_se_pp,ready_on_t2_pct,ready_on_t3_pct,ready_on_t4_pct,ready_on_t5_pct,setup_failure_pct,setup_failure_se_pp,started_regi_pct,started_tapu_pct,secret_box_used_pct,blender_used_pct,exploding_energy_used_pct,steven_used_pct,star_alchemy_used_pct,legacy_star_used_pct,mean_mulligans,secret_box_attempts_per_game,secret_box_cost_blocks_per_game,secret_box_missing_axis_per_game,secret_box_missing_regi_axis_per_game,secret_box_missing_line_axis_per_game,secret_box_missing_vstar_axis_per_game,secret_box_missing_payload_axis_per_game,secret_box_missing_treasure_axis_per_game,secret_box_missing_fire_axis_per_game,secret_box_missing_grass_axis_per_game,secret_box_missing_ability_axis_per_game,secret_box_missing_supporter_axis_per_game,secret_box_missing_known_prize_zone_per_game,secret_box_missing_discard_zone_per_game,secret_box_missing_stranded_hand_zone_per_game,secret_box_bench_blocks_per_game,secret_box_arven_banks_per_game,secret_box_steven_banks_per_game,secret_box_gladion_banks_per_game,secret_box_fss_banks_per_game,t2_missing_active_vstar_pct,t2_missing_grass_pct,t2_missing_fire_pct,t2_missing_payload_pct,t2_eligible_regi_start_pct,t2_active_regi_start_pct,t2_pineco_line_start_pct,t2_vstar_held_start_pct,t2_eligible_missed_active_pct,t2_eligible_held_vstar_missed_active_pct
"regidrago-shell","strict-jit/go-first",100,5,2.17945,33,4.70213,49,4.999,59,4.91833,5,28,16,10,51,4.999,52,13,0,17,0,10,34,23,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,86,76,81,0,0,0,0,0,0
"regidrago-shell","matchup-flex-jit/go-first",100,25,4.33013,51,4.999,63,4.82804,73,4.43959,25,26,12,10,37,4.82804,65,9,0,24,0,1,33,40,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,55,57,61,0,0,0,0,0,0
"regidrago-shell","no-discard-control/go-first",100,18,3.84187,56,4.96387,70,4.58258,80,4,18,38,14,10,30,4.58258,58,24,0,17,0,3,34,14,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,69,69,10,0,0,0,0,0,0
"regidrago-shell","strict-jit-turn2-item-lock/go-first",100,6,2.37487,12,3.24962,19,3.92301,20,4,6,6,7,1,81,3.92301,51,14,0,0,0,7,33,27,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,89,84,88,0,0,0,0,0,0
"regidrago-shell","strict-jit-full-item-lock/go-first",100,1,0.994987,6,2.37487,17,3.75633,21,4.07308,1,5,11,4,83,3.75633,53,18,0,0,0,7,31,32,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,87,76,84,0,0,0,0,0,0
"regidrago-shell","strict-jit-rulebox-ability-lock/go-first",100,3,1.70587,26,4.38634,39,4.8775,50,5,3,23,13,11,61,4.8775,63,15,0,17,0,9,34,14,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,77,79,70,0,0,0,0,0,0
"regidrago-shell","strict-jit-combined-lock/go-first",100,0,0,1,0.994987,2,1.4,3,1.70587,0,1,1,1,98,1.4,64,12,0,0,0,5,34,4,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,95,92,94,0,0,0,0,0,0
"regidrago-shell","strict-jit/go-second",100,27,4.43959,54,4.98397,65,4.7697,74,4.38634,27,27,11,9,35,4.7697,57,18,0,30,0,30,31,23,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,67,55,55,0,0,0,0,0,0
"regidrago-shell","matchup-flex-jit/go-second",100,45,4.97494,65,4.7697,70,4.58258,78,4.14246,45,20,5,8,30,4.58258,59,15,0,35,0,40,23,20,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,40,42,0,0,0,0,0,0
"regidrago-shell","no-discard-control/go-second",100,37,4.82804,62,4.85386,72,4.48999,81,3.92301,37,25,10,9,28,4.48999,59,11,0,25,0,26,27,8,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,48,44,13,0,0,0,0,0,0
"regidrago-shell","strict-jit-turn2-item-lock/go-second",100,10,3,34,4.73709,36,4.8,38,4.85386,10,24,2,2,64,4.8,57,17,0,0,0,32,30,38,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,61,58,80,0,0,0,0,0,0
"regidrago-shell","strict-jit-full-item-lock/go-second",100,10,3,21,4.07308,28,4.48999,31,4.62493,10,11,7,3,72,4.48999,58,18,0,0,0,26,27,36,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,76,73,77,0,0,0,0,0,0
"regidrago-shell","strict-jit-rulebox-ability-lock/go-second",100,19,3.92301,34,4.73709,44,4.96387,55,4.97494,19,15,10,11,56,4.96387,61,11,0,20,0,16,37,5,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,68,70,71,0,0,0,0,0,0
"regidrago-shell","strict-jit-combined-lock/go-second",100,1,0.994987,12,3.24962,16,3.66606,22,4.14246,1,11,4,6,84,3.66606,53,21,0,0,0,14,43,2,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,83,82,94,0,0,0,0,0,0
"regidrago-shell","strict-jit-supporter-lock/go-first",100,0,0,15,3.57071,24,4.27083,35,4.7697,0,15,9,11,76,4.27083,55,18,0,13,0,0,17,43,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,78,83,74,0,0,0,0,0,0
