scenario,trials,ready_by_t2_pct,ready_by_t2_se_pp,ready_by_t3_pct,ready_by_t3_se_pp,ready_by_t4_pct,ready_by_t4_se_pp,ready_by_t5_pct,ready_by_t5_se_pp,ready_on_t5_pct,ready_on_t5_se_pp,setup_failure_pct,setup_failure_se_pp,started_regi_pct,fss_used_pct,legacy_star_used_pct,steven_used_pct,blender_used_pct,mean_mulligans
"strict-jit/go-first",1,0,0,0,0,100,0,100,0,0,0,0,0,100,100,0,0,100,0
"matchup-flex-jit/go-first",1,0,0,100,0,100,0,100,0,0,0,0,0,100,0,0,0,0,0
"no-discard-control/go-first",1,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,1
"strict-jit-turn2-item-lock/go-first",1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"strict-jit-full-item-lock/go-first",1,0,0,100,0,100,0,100,0,0,0,0,0,100,100,0,0,0,2
"strict-jit-rulebox-ability-lock/go-first",1,0,0,100,0,100,0,100,0,0,0,0,0,100,100,0,0,0,0
"strict-jit-combined-lock/go-first",1,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,1
"strict-jit/go-second",1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"matchup-flex-jit/go-second",1,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,100,0,0
"no-discard-control/go-second",1,0,0,100,0,100,0,100,0,0,0,0,0,100,0,0,0,0,0
"strict-jit-turn2-item-lock/go-second",1,100,0,100,0,100,0,100,0,0,0,0,0,100,0,0,0,0,0
"strict-jit-full-item-lock/go-second",1,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,0,0,0
"strict-jit-rulebox-ability-lock/go-second",1,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,0,0,1
"strict-jit-combined-lock/go-second",1,0,0,100,0,100,0,100,0,0,0,0,0,100,100,0,100,0,0
