scenario,trials,ready_by_t2_pct,ready_by_t2_se_pp,ready_by_t3_pct,ready_by_t3_se_pp,ready_by_t4_pct,ready_by_t4_se_pp,ready_by_t5_pct,ready_by_t5_se_pp,ready_on_t5_pct,ready_on_t5_se_pp,setup_failure_pct,setup_failure_se_pp,started_regi_pct,fss_used_pct,legacy_star_used_pct,steven_used_pct,blender_used_pct,mean_mulligans
"strict-jit/go-first",100,10,3,35,4.7697,51,4.999,60,4.89898,9,2.86182,49,4.999,58,28,35,3,20,0.44
"matchup-flex-jit/go-first",100,15,3.57071,42,4.93559,56,4.96387,66,4.73709,10,3,44,4.96387,51,25,47,2,23,0.65
"no-discard-control/go-first",100,18,3.84187,57,4.95076,74,4.38634,82,3.84187,8,2.71293,26,4.38634,59,31,14,2,17,0.4
"strict-jit-turn2-item-lock/go-first",100,4,1.95959,11,3.1289,18,3.84187,22,4.14246,4,1.95959,82,3.84187,57,35,36,4,0,0.37
"strict-jit-full-item-lock/go-first",100,1,0.994987,7,2.55147,18,3.84187,21,4.07308,3,1.70587,82,3.84187,52,31,32,7,0,0.31
"strict-jit-rulebox-ability-lock/go-first",100,8,2.71293,28,4.48999,37,4.82804,51,4.999,14,3.46987,63,4.82804,59,33,12,2,21,0.35
"strict-jit-combined-lock/go-first",100,0,0,1,0.994987,2,1.4,3,1.70587,1,0.994987,98,1.4,64,34,4,5,0,0.46
"strict-jit/go-second",100,28,4.48999,47,4.99099,55,4.97494,70,4.58258,15,3.57071,45,4.97494,61,24,31,28,37,0.27
"matchup-flex-jit/go-second",100,39,4.8775,59,4.91833,71,4.53762,79,4.07308,8,2.71293,29,4.53762,63,27,22,33,44,0.38
"no-discard-control/go-second",100,38,4.85386,61,4.8775,72,4.48999,82,3.84187,10,3,28,4.48999,60,28,8,29,26,0.36
"strict-jit-turn2-item-lock/go-second",100,20,4,30,4.58258,37,4.82804,39,4.8775,2,1.4,63,4.82804,52,28,41,24,0,0.44
"strict-jit-full-item-lock/go-second",100,7,2.55147,18,3.84187,29,4.53762,32,4.66476,3,1.70587,71,4.53762,51,32,35,31,0,0.4
"strict-jit-rulebox-ability-lock/go-second",100,20,4,35,4.7697,44,4.96387,51,4.999,7,2.55147,56,4.96387,57,28,8,16,21,0.28
"strict-jit-combined-lock/go-second",100,1,0.994987,10,3,12,3.24962,15,3.57071,3,1.70587,88,3.24962,54,39,3,17,0,0.32
