variant,cuts,crobat_copies,scenario,trials,ready_by_t2_pct,ready_by_t3_pct,ready_by_t4_pct,dark_asset_use_pct,avg_dark_asset_cards_drawn_per_game_using
regidrago-shell,"none",0,strict-jit/go-first,100000,12.178000,38.797000,55.336000,0.000000,0.000000
crobat1-erika,"Erika's Invitation",1,strict-jit/go-first,100000,11.798000,38.251000,55.146000,15.280000,1.403796
crobat1-channeler,"Channeler",1,strict-jit/go-first,100000,11.750000,38.031000,54.891000,15.113000,1.391319
crobat1-team-yell,"Team Yell's Cheer",1,strict-jit/go-first,100000,11.827000,37.918000,54.619000,15.503000,1.390699
crobat1-roseanne,"Roseanne's Backup",1,strict-jit/go-first,100000,11.786000,37.934000,54.925000,15.502000,1.391433
crobat1-turo,"Professor Turo's Scenario",1,strict-jit/go-first,100000,11.777000,37.793000,54.461000,15.491000,1.392551
crobat1-powerglass,"Powerglass",1,strict-jit/go-first,100000,11.781000,38.060000,54.768000,15.389000,1.393918
crobat1-heavy-ball,"Hisuian Heavy Ball",1,strict-jit/go-first,100000,11.116000,36.446000,52.986000,14.902000,1.391290
crobat1-tapu-lele,"Tapu Lele-GX",1,strict-jit/go-first,100000,10.484000,36.468000,53.035000,15.641000,1.393389
crobat2-erika-channeler,"Erika's Invitation + Channeler",2,strict-jit/go-first,100000,11.733000,37.562000,54.462000,26.727000,1.340293
crobat2-erika-team-yell,"Erika's Invitation + Team Yell's Cheer",2,strict-jit/go-first,100000,11.750000,37.691000,54.663000,26.606000,1.349846
crobat2-erika-tapu-lele,"Erika's Invitation + Tapu Lele-GX",2,strict-jit/go-first,100000,10.389000,36.338000,52.723000,26.959000,1.339553
crobat2-tapu-lele-both,"Tapu Lele-GX + Tapu Lele-GX",2,strict-jit/go-first,100000,5.905000,32.838000,49.440000,28.577000,1.378696
regidrago-shell,"none",0,matchup-flex-jit/go-first,100000,16.225000,47.514000,63.318000,0.000000,0.000000
crobat1-erika,"Erika's Invitation",1,matchup-flex-jit/go-first,100000,15.692000,46.857000,62.853000,19.175000,1.555984
crobat1-channeler,"Channeler",1,matchup-flex-jit/go-first,100000,15.620000,46.884000,63.013000,19.100000,1.567382
crobat1-team-yell,"Team Yell's Cheer",1,matchup-flex-jit/go-first,100000,15.734000,46.959000,63.280000,19.130000,1.563565
crobat1-roseanne,"Roseanne's Backup",1,matchup-flex-jit/go-first,100000,15.734000,46.959000,63.280000,19.130000,1.563565
crobat1-turo,"Professor Turo's Scenario",1,matchup-flex-jit/go-first,100000,15.879000,46.826000,62.856000,19.051000,1.570416
crobat1-powerglass,"Powerglass",1,matchup-flex-jit/go-first,100000,15.937000,46.756000,63.025000,19.275000,1.562387
crobat1-heavy-ball,"Hisuian Heavy Ball",1,matchup-flex-jit/go-first,100000,15.639000,46.061000,62.224000,19.200000,1.582292
crobat1-tapu-lele,"Tapu Lele-GX",1,matchup-flex-jit/go-first,100000,14.656000,46.419000,62.111000,20.423000,1.575577
crobat2-erika-channeler,"Erika's Invitation + Channeler",2,matchup-flex-jit/go-first,100000,15.457000,46.245000,62.447000,32.145000,1.484150
crobat2-erika-team-yell,"Erika's Invitation + Team Yell's Cheer",2,matchup-flex-jit/go-first,100000,15.241000,46.129000,62.645000,32.034000,1.492040
