deck,scenario,trials,ready_by_t2_pct,ready_by_t2_se_pp,ready_by_t3_pct,ready_by_t3_se_pp,ready_by_t4_pct,ready_by_t4_se_pp,ready_by_t5_pct,ready_by_t5_se_pp,ready_on_t2_pct,ready_on_t3_pct,ready_on_t4_pct,ready_on_t5_pct,setup_failure_pct,setup_failure_se_pp,started_regi_pct,started_tapu_pct,secret_box_used_pct,blender_used_pct,exploding_energy_used_pct,steven_used_pct,star_alchemy_used_pct,legacy_star_used_pct,mean_mulligans,secret_box_attempts_per_game,secret_box_cost_blocks_per_game,secret_box_missing_axis_per_game,secret_box_missing_regi_axis_per_game,secret_box_missing_line_axis_per_game,secret_box_missing_vstar_axis_per_game,secret_box_missing_payload_axis_per_game,secret_box_missing_treasure_axis_per_game,secret_box_missing_fire_axis_per_game,secret_box_missing_grass_axis_per_game,secret_box_missing_ability_axis_per_game,secret_box_missing_supporter_axis_per_game,secret_box_missing_known_prize_zone_per_game,secret_box_missing_discard_zone_per_game,secret_box_missing_stranded_hand_zone_per_game,secret_box_bench_blocks_per_game,secret_box_arven_banks_per_game,secret_box_steven_banks_per_game,secret_box_gladion_banks_per_game,secret_box_fss_banks_per_game,t2_missing_active_vstar_pct,t2_missing_grass_pct,t2_missing_fire_pct,t2_missing_payload_pct,t2_eligible_regi_start_pct,t2_active_regi_start_pct,t2_pineco_line_start_pct,t2_vstar_held_start_pct,t2_eligible_missed_active_pct,t2_eligible_held_vstar_missed_active_pct
"regidrago-shell","strict-jit/go-first",100000,12.051,0.10295,39.286,0.154441,56.515,0.156766,67.206,0.148457,12.051,27.235,17.229,10.691,43.485,0.156766,57.255,14.512,0,20.482,0,6.348,30.412,27.116,0.42914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.225,74.648,69.952,67.977,0,0,0,0,0,0
"regidrago-shell","matchup-flex-jit/go-first",100000,16.319,0.116858,47.568,0.157927,63.42,0.152312,73.093,0.14024,16.319,31.249,15.852,9.673,36.58,0.152312,56.708,14.905,0,28.913,0,2.679,30.491,37.663,0.43122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.222,66.256,64.143,65.986,0,0,0,0,0,0
"regidrago-shell","no-discard-control/go-first",100000,20.013,0.126522,56.018,0.156964,72.215,0.141651,81.214,0.123519,20.013,36.005,16.197,8.999,27.785,0.141651,56.853,14.711,0,20.721,0,1.789,27.719,18.037,0.42783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.401,64.394,63.793,20.794,0,0,0,0,0,0
"regidrago-shell","strict-jit-turn2-item-lock/go-first",100000,4.632,0.0664639,10.38,0.0964498,18.077,0.121693,23.574,0.134226,4.632,5.748,7.697,5.497,81.923,0.121693,56.981,14.738,0,0,0,5.062,31.447,36.325,0.43122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.705,82.044,76.908,80.728,0,0,0,0,0,0
"regidrago-shell","strict-jit-full-item-lock/go-first",100000,2.752,0.0517326,7.683,0.0842183,15.067,0.113123,20.871,0.128511,2.752,4.931,7.384,5.804,84.933,0.113123,57.098,14.814,0,0,0,7.213,30.447,29.386,0.42748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.948,86.579,82.241,85.146,0,0,0,0,0,0
"regidrago-shell","strict-jit-rulebox-ability-lock/go-first",100000,4.403,0.0648779,26.487,0.13954,39.76,0.154762,50.226,0.158112,4.403,22.084,13.273,10.466,60.24,0.154762,57.161,16.249,0,18.089,0,4.353,34.492,9.383,0.43048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.19,79.72,78.148,76.104,0,0,0,0,0,0
"regidrago-shell","strict-jit-combined-lock/go-first",100000,0.293,0.0170921,3.309,0.0565642,7.394,0.0827483,11.347,0.100297,0.293,3.016,4.085,3.953,92.606,0.0827483,57.19,16.171,0,0,0,7.04,33.755,5.506,0.42489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.477,89.276,84.941,93.34,0,0,0,0,0,0
"regidrago-shell","strict-jit/go-second",100000,29.777,0.144604,53.497,0.157727,64.747,0.15108,72.577,0.141077,29.777,23.72,11.25,7.83,35.253,0.15108,57.395,14.735,0,24.838,0,33.196,27.828,19.989,0.43146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.531,60.283,56.351,56.145,0,0,0,0,0,0
"regidrago-shell","matchup-flex-jit/go-second",100000,37.377,0.152992,61.088,0.154177,71.458,0.142813,78.417,0.130095,37.377,23.711,10.37,6.959,28.542,0.142813,57.128,14.743,0,36.562,0,34.819,27.273,25.284,0.43216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.331,49.113,48.005,51.161,0,0,0,0,0,0
"regidrago-shell","no-discard-control/go-second",100000,39.944,0.154883,67.09,0.148591,78.237,0.130486,84.787,0.113572,39.944,27.146,11.147,6.55,21.763,0.130486,56.837,14.614,0,29.181,0,29.025,26.453,8.954,0.42423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.942,49.179,48.259,9.757,0,0,0,0,0,0
"regidrago-shell","strict-jit-turn2-item-lock/go-second",100000,14.297,0.110693,28.22,0.142325,35.805,0.151608,40.102,0.154985,14.297,13.923,7.585,4.297,64.195,0.151608,57.068,14.824,0,0,0,30.28,29.483,43.092,0.42773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.531,66.173,60.809,73.772,0,0,0,0,0,0
"regidrago-shell","strict-jit-full-item-lock/go-second",100000,10.632,0.0974762,23.384,0.13385,30.611,0.145742,34.848,0.150679,10.632,12.752,7.227,4.237,69.389,0.145742,57.06,14.712,0,0,0,28.217,28.672,35.825,0.42999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.172,73.897,68.157,79.48,0,0,0,0,0,0
"regidrago-shell","strict-jit-rulebox-ability-lock/go-second",100000,18.055,0.121635,35.108,0.150938,45.504,0.157473,53.913,0.157629,18.055,17.053,10.396,8.409,54.496,0.157473,56.977,16.194,0,19.137,0,19.876,32.76,7.574,0.43241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.23,69.556,67.469,67.376,0,0,0,0,0,0
"regidrago-shell","strict-jit-combined-lock/go-second",100000,2.377,0.0481716,11.343,0.100281,15.621,0.114808,19.302,0.124805,2.377,8.966,4.278,3.681,84.379,0.114808,57.046,16.204,0,0,0,18.997,32.36,6.583,0.43203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.8,80.393,74.735,92.798,0,0,0,0,0,0
"regidrago-shell","strict-jit-supporter-lock/go-first",100000,0.001,0.000999995,15.369,0.114048,21.653,0.130248,28.376,0.142562,0.001,15.368,6.284,6.723,78.347,0.130248,57.245,14.733,0,10.179,0,0,15.528,47.658,0.42495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.449,76.233,82.661,72.125,0,0,0,0,0,0
