deck,scenario,trials,ready_by_t2_pct,ready_by_t2_se_pp,ready_by_t3_pct,ready_by_t3_se_pp,ready_by_t4_pct,ready_by_t4_se_pp,ready_by_t5_pct,ready_by_t5_se_pp,ready_on_t2_pct,ready_on_t3_pct,ready_on_t4_pct,ready_on_t5_pct,setup_failure_pct,setup_failure_se_pp,started_regi_pct,started_tapu_pct,secret_box_used_pct,blender_used_pct,exploding_energy_used_pct,steven_used_pct,star_alchemy_used_pct,legacy_star_used_pct,mean_mulligans,secret_box_attempts_per_game,secret_box_cost_blocks_per_game,secret_box_missing_axis_per_game,secret_box_missing_regi_axis_per_game,secret_box_missing_line_axis_per_game,secret_box_missing_vstar_axis_per_game,secret_box_missing_payload_axis_per_game,secret_box_missing_treasure_axis_per_game,secret_box_missing_fire_axis_per_game,secret_box_missing_grass_axis_per_game,secret_box_missing_ability_axis_per_game,secret_box_missing_supporter_axis_per_game,secret_box_missing_known_prize_zone_per_game,secret_box_missing_discard_zone_per_game,secret_box_missing_stranded_hand_zone_per_game,secret_box_bench_blocks_per_game,secret_box_arven_banks_per_game,secret_box_steven_banks_per_game,secret_box_gladion_banks_per_game,secret_box_fss_banks_per_game,t2_missing_active_vstar_pct,t2_missing_grass_pct,t2_missing_fire_pct,t2_missing_payload_pct,t2_eligible_regi_start_pct,t2_active_regi_start_pct,t2_pineco_line_start_pct,t2_vstar_held_start_pct,t2_eligible_missed_active_pct,t2_eligible_held_vstar_missed_active_pct
"regidrago-shell","strict-jit/go-first",100000,11.933,0.102514,38.5,0.153875,55.367,0.1572,66.078,0.149716,11.933,26.567,16.867,10.711,44.633,0.1572,56.97,14.667,0,20.682,0,6.487,30.436,26.874,0.43208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.665,74.967,70.243,68.235,0,0,0,0,0,0
"regidrago-shell","matchup-flex-jit/go-first",100000,16.274,0.116729,47.59,0.15793,63.396,0.152333,73.016,0.140366,16.274,31.316,15.806,9.62,36.604,0.152333,57.079,14.795,0,28.896,0,2.681,30.697,37.412,0.4296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.16,66.105,64.198,65.955,0,0,0,0,0,0
"regidrago-shell","no-discard-control/go-first",100000,20.134,0.126808,56,0.156971,72.128,0.141787,81.134,0.12372,20.134,35.866,16.128,9.006,27.872,0.141787,56.805,14.761,0,20.672,0,1.756,27.688,17.862,0.4273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.372,64.303,63.769,20.747,0,0,0,0,0,0
"regidrago-shell","strict-jit-turn2-item-lock/go-first",100000,4.596,0.0662176,10.206,0.0957307,17.699,0.120692,23.115,0.133312,4.596,5.61,7.493,5.416,82.301,0.120692,56.969,14.701,0,0,0,5.047,31.583,35.863,0.42724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.555,81.994,76.82,80.598,0,0,0,0,0,0
"regidrago-shell","strict-jit-full-item-lock/go-first",100000,2.823,0.0523766,7.749,0.084549,15.061,0.113105,20.616,0.127929,2.823,4.926,7.312,5.555,84.939,0.113105,57.156,14.68,0,0,0,7.163,30.394,28.797,0.42923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.849,86.492,82.134,85.143,0,0,0,0,0,0
"regidrago-shell","strict-jit-rulebox-ability-lock/go-first",100000,4.487,0.065465,25.996,0.138701,39.084,0.1543,49.676,0.158111,4.487,21.509,13.088,10.592,60.916,0.1543,57.061,16.246,0,18.134,0,4.302,34.553,9.324,0.42869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.126,79.695,78.039,76.05,0,0,0,0,0,0
"regidrago-shell","strict-jit-combined-lock/go-first",100000,0.293,0.0170921,3.279,0.0563159,7.268,0.0820961,11.095,0.0993177,0.293,2.986,3.989,3.827,92.732,0.0820961,57.127,16.244,0,0,0,6.933,33.94,5.274,0.42661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.494,89.322,85.019,93.339,0,0,0,0,0,0
"regidrago-shell","strict-jit/go-second",100000,29.492,0.144202,52.693,0.157884,63.936,0.151848,71.848,0.14222,29.492,23.201,11.243,7.912,36.064,0.151848,57.203,14.566,0,25.106,0,33.517,28.092,19.72,0.42959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.229,60.806,56.685,56.672,0,0,0,0,0,0
"regidrago-shell","matchup-flex-jit/go-second",100000,37.223,0.152864,60.744,0.15442,71.022,0.14346,78.016,0.130962,37.223,23.521,10.278,6.994,28.978,0.14346,57.142,14.862,0,36.327,0,34.796,27.404,24.919,0.43195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.618,49.279,48.345,51.317,0,0,0,0,0,0
"regidrago-shell","no-discard-control/go-second",100000,39.83,0.154809,66.914,0.148792,77.999,0.130998,84.627,0.11406,39.83,27.084,11.085,6.628,22.001,0.130998,56.833,14.706,0,29.097,0,28.854,26.461,8.876,0.42723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.222,49.407,48.43,9.602,0,0,0,0,0,0
"regidrago-shell","strict-jit-turn2-item-lock/go-second",100000,14.085,0.110005,27.964,0.14193,35.542,0.151359,39.747,0.154754,14.085,13.879,7.578,4.205,64.458,0.151359,57.076,14.796,0,0,0,30.202,29.651,42.215,0.42654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.025,66.664,60.96,73.983,0,0,0,0,0,0
"regidrago-shell","strict-jit-full-item-lock/go-second",100000,10.556,0.0971685,22.936,0.132949,30.105,0.145058,34.319,0.150137,10.556,12.38,7.169,4.214,69.895,0.145058,57.107,14.77,0,0,0,28.14,28.803,34.926,0.43017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.586,74.16,68.673,79.517,0,0,0,0,0,0
"regidrago-shell","strict-jit-rulebox-ability-lock/go-second",100000,18.123,0.121814,34.679,0.150508,44.802,0.157257,53.294,0.15777,18.123,16.556,10.123,8.492,55.198,0.157257,56.904,16.399,0,19.275,0,19.851,32.762,7.547,0.42665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.807,69.79,67.645,67.563,0,0,0,0,0,0
"regidrago-shell","strict-jit-combined-lock/go-second",100000,2.373,0.048132,11.415,0.100558,15.519,0.114502,19.083,0.124263,2.373,9.042,4.104,3.564,84.481,0.114502,57.132,16.186,0,0,0,19.022,32.382,6.293,0.43177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.115,80.534,75.032,92.655,0,0,0,0,0,0
"regidrago-shell","strict-jit-supporter-lock/go-first",100000,0.002,0.0014142,15.385,0.114097,21.677,0.1303,28.412,0.142617,0.002,15.383,6.292,6.735,78.323,0.1303,57.236,14.76,0,10.185,0,0,15.518,47.653,0.42453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.47,76.231,82.683,72.153,0,0,0,0,0,0
"regidrago-shell","strict-jit-supporter-lock/go-second",100000,8.181,0.0866701,19.626,0.125595,25.447,0.137737,31.621,0.147045,8.181,11.445,5.821,6.174,74.553,0.137737,57.048,14.697,0,9.407,0,0,15.488,46.939,0.42689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.694,72.061,76.249,69.476,0,0,0,0,0,0
