deck,scenario,trials,ready_by_t2_pct,ready_by_t2_se_pp,ready_by_t3_pct,ready_by_t3_se_pp,ready_by_t4_pct,ready_by_t4_se_pp,ready_by_t5_pct,ready_by_t5_se_pp,ready_on_t2_pct,ready_on_t3_pct,ready_on_t4_pct,ready_on_t5_pct,setup_failure_pct,setup_failure_se_pp,started_regi_pct,started_tapu_pct,secret_box_used_pct,blender_used_pct,exploding_energy_used_pct,steven_used_pct,star_alchemy_used_pct,legacy_star_used_pct,mean_mulligans,secret_box_attempts_per_game,secret_box_cost_blocks_per_game,secret_box_missing_axis_per_game,secret_box_missing_regi_axis_per_game,secret_box_missing_line_axis_per_game,secret_box_missing_vstar_axis_per_game,secret_box_missing_payload_axis_per_game,secret_box_missing_treasure_axis_per_game,secret_box_missing_fire_axis_per_game,secret_box_missing_grass_axis_per_game,secret_box_missing_ability_axis_per_game,secret_box_missing_supporter_axis_per_game,secret_box_missing_known_prize_zone_per_game,secret_box_missing_discard_zone_per_game,secret_box_missing_stranded_hand_zone_per_game,secret_box_bench_blocks_per_game,secret_box_arven_banks_per_game,secret_box_steven_banks_per_game,secret_box_gladion_banks_per_game,secret_box_fss_banks_per_game,t2_missing_active_vstar_pct,t2_missing_grass_pct,t2_missing_fire_pct,t2_missing_payload_pct,t2_eligible_regi_start_pct,t2_active_regi_start_pct,t2_pineco_line_start_pct,t2_vstar_held_start_pct,t2_eligible_missed_active_pct,t2_eligible_held_vstar_missed_active_pct
"regidrago-shell","strict-jit/go-first",100000,12.147,0.103303,39.891,0.154849,56.912,0.156596,67.5,0.148113,12.147,27.744,17.021,10.588,43.088,0.156596,56.872,14.838,0,21.665,0,6.442,30.252,26.771,0.42535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.471,74.791,70.046,68.153,0,0,0,0,0,0
"regidrago-shell","matchup-flex-jit/go-first",100000,16.301,0.116807,48.229,0.158015,64.062,0.151732,73.614,0.139369,16.301,31.928,15.833,9.552,35.938,0.151732,57.113,14.964,0,29.965,0,2.593,30.378,37.688,0.42835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.931,66.044,64,65.946,0,0,0,0,0,0
"regidrago-shell","no-discard-control/go-first",100000,19.958,0.126391,56.02,0.156964,72.356,0.141429,81.366,0.123133,19.958,36.062,16.336,9.01,27.644,0.141429,56.843,14.603,0,20.664,0,1.786,27.811,17.885,0.42885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.466,64.422,63.84,20.721,0,0,0,0,0,0
"regidrago-shell","strict-jit-turn2-item-lock/go-first",100000,4.583,0.0661284,10.287,0.0960665,18.093,0.121735,23.539,0.134157,4.583,5.704,7.806,5.446,81.907,0.121735,56.996,14.875,0,0,0,5.107,31.353,36.373,0.42486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.756,82.137,76.95,80.595,0,0,0,0,0,0
"regidrago-shell","strict-jit-full-item-lock/go-first",100000,2.868,0.0527802,7.905,0.0853236,15.4,0.114142,21.243,0.129346,2.868,5.037,7.495,5.843,84.6,0.114142,57.171,14.634,0,0,0,7.117,30.375,29.469,0.42403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.948,86.504,82.219,85.014,0,0,0,0,0,0
"regidrago-shell","strict-jit-rulebox-ability-lock/go-first",100000,4.461,0.065284,26.472,0.139515,40.106,0.154987,50.569,0.158104,4.461,22.011,13.634,10.463,59.894,0.154987,56.683,16.307,0,20.115,0,4.329,34.392,9.38,0.43126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.543,79.799,78.301,76.168,0,0,0,0,0,0
"regidrago-shell","strict-jit-combined-lock/go-first",100000,0.304,0.0174091,3.357,0.0569588,7.499,0.0832866,11.578,0.101181,0.304,3.053,4.142,4.079,92.501,0.0832866,57.305,16.312,0,0,0,6.955,33.976,5.605,0.42639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.144,89.268,84.915,93.333,0,0,0,0,0,0
"regidrago-shell","strict-jit/go-second",100000,29.974,0.144878,53.873,0.157639,65.208,0.150623,73.004,0.140386,29.974,23.899,11.335,7.796,34.792,0.150623,57.019,14.784,0,26.88,0,33.233,27.841,19.483,0.42571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.935,60.404,56.559,56.112,0,0,0,0,0,0
"regidrago-shell","matchup-flex-jit/go-second",100000,37.252,0.152888,61.273,0.154043,71.464,0.142804,78.434,0.130058,37.252,24.021,10.191,6.97,28.536,0.142804,56.765,14.705,0,37.438,0,34.665,27.426,25.22,0.43035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.59,49.209,48.239,51.262,0,0,0,0,0,0
"regidrago-shell","no-discard-control/go-second",100000,39.964,0.154896,67.123,0.148553,78.368,0.130202,84.973,0.113,39.964,27.159,11.245,6.605,21.632,0.130202,56.755,14.595,0,29.212,0,28.827,26.64,8.884,0.42987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.918,49.114,48.3,9.698,0,0,0,0,0,0
