deck,scenario,trials,ready_by_t2_pct,ready_by_t2_se_pp,ready_by_t3_pct,ready_by_t3_se_pp,ready_by_t4_pct,ready_by_t4_se_pp,ready_by_t5_pct,ready_by_t5_se_pp,ready_on_t2_pct,ready_on_t3_pct,ready_on_t4_pct,ready_on_t5_pct,setup_failure_pct,setup_failure_se_pp,started_regi_pct,started_tapu_pct,secret_box_used_pct,blender_used_pct,exploding_energy_used_pct,steven_used_pct,star_alchemy_used_pct,legacy_star_used_pct,mean_mulligans,secret_box_attempts_per_game,secret_box_cost_blocks_per_game,secret_box_missing_axis_per_game,secret_box_missing_regi_axis_per_game,secret_box_missing_line_axis_per_game,secret_box_missing_vstar_axis_per_game,secret_box_missing_payload_axis_per_game,secret_box_missing_treasure_axis_per_game,secret_box_missing_fire_axis_per_game,secret_box_missing_grass_axis_per_game,secret_box_missing_ability_axis_per_game,secret_box_missing_supporter_axis_per_game,secret_box_missing_known_prize_zone_per_game,secret_box_missing_discard_zone_per_game,secret_box_missing_stranded_hand_zone_per_game,secret_box_bench_blocks_per_game,secret_box_arven_banks_per_game,secret_box_steven_banks_per_game,secret_box_gladion_banks_per_game,secret_box_fss_banks_per_game,t2_missing_active_vstar_pct,t2_missing_grass_pct,t2_missing_fire_pct,t2_missing_payload_pct,t2_eligible_regi_start_pct,t2_active_regi_start_pct,t2_pineco_line_start_pct,t2_vstar_held_start_pct,t2_eligible_missed_active_pct,t2_eligible_held_vstar_missed_active_pct
"regidrago-shell","strict-jit/go-first",100000,11.949,0.102573,39.553,0.154624,56.657,0.156706,67.254,0.148401,11.949,27.604,17.104,10.597,43.343,0.156706,56.689,14.811,0,21.809,0,6.379,30.424,26.741,0.42956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.681,74.976,70.348,68.2,0,0,0,0,0,0
"regidrago-shell","matchup-flex-jit/go-first",100000,16.375,0.11702,48.35,0.158028,64.141,0.151659,73.654,0.139301,16.375,31.975,15.791,9.513,35.859,0.151659,57.068,14.86,0,30.232,0,2.676,30.635,37.752,0.42744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.918,65.942,64.046,65.798,0,0,0,0,0,0
"regidrago-shell","no-discard-control/go-first",100000,19.977,0.126437,56.028,0.156961,72.361,0.141421,81.367,0.12313,19.977,36.051,16.333,9.006,27.639,0.141421,56.806,14.616,0,20.707,0,1.785,27.825,17.885,0.42874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.482,64.424,63.841,20.733,0,0,0,0,0,0
"regidrago-shell","strict-jit-turn2-item-lock/go-first",100000,4.551,0.0659081,10.285,0.0960583,18.044,0.121606,23.469,0.134019,4.551,5.734,7.759,5.425,81.956,0.121606,57.024,14.756,0,0,0,5.103,31.534,36.361,0.42586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.622,82.046,76.912,80.653,0,0,0,0,0,0
"regidrago-shell","strict-jit-full-item-lock/go-first",100000,2.839,0.0525205,7.771,0.0846588,15.26,0.113716,21.096,0.129018,2.839,4.932,7.489,5.836,84.74,0.113716,57.115,14.723,0,0,0,7.169,30.251,29.571,0.42486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.902,86.483,82.211,85.066,0,0,0,0,0,0
"regidrago-shell","strict-jit-rulebox-ability-lock/go-first",100000,4.341,0.0644403,26.61,0.139746,40.334,0.155131,50.819,0.158093,4.341,22.269,13.724,10.485,59.666,0.155131,56.961,16.283,0,20.366,0,4.318,34.584,9.44,0.43382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.304,79.751,78.248,76.123,0,0,0,0,0,0
"regidrago-shell","strict-jit-combined-lock/go-first",100000,0.313,0.0176641,3.36,0.0569834,7.469,0.0831333,11.595,0.101245,0.313,3.047,4.109,4.126,92.531,0.0831333,57.203,16.256,0,0,0,6.977,33.857,5.599,0.42597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.324,89.296,84.921,93.317,0,0,0,0,0,0
"regidrago-shell","strict-jit/go-second",100000,29.681,0.144469,53.793,0.157658,65.068,0.150763,72.977,0.14043,29.681,24.112,11.275,7.909,34.932,0.150763,57.103,14.686,0,27.051,0,33.062,27.851,19.751,0.42994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.838,60.447,56.748,56.28,0,0,0,0,0,0
"regidrago-shell","matchup-flex-jit/go-second",100000,37.167,0.152817,61.156,0.154128,71.357,0.142964,78.314,0.13032,37.167,23.989,10.201,6.957,28.643,0.142964,56.82,14.701,0,37.771,0,34.631,27.566,25.181,0.43272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.546,49.185,48.185,51.278,0,0,0,0,0,0
"regidrago-shell","no-discard-control/go-second",100000,39.979,0.154906,67.119,0.148558,78.401,0.13013,85.003,0.112907,39.979,27.14,11.282,6.602,21.599,0.13013,56.784,14.598,0,29.221,0,28.865,26.667,8.864,0.42973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.905,49.109,48.282,9.701,0,0,0,0,0,0
