variant,scenario,trials,ready_by_t2_pct,ready_by_t3_pct,ready_by_t4_pct,delta_t2_pp_vs_baseline,delta_t3_pp_vs_baseline,delta_t4_pp_vs_baseline
"baseline","strict-jit/go-first",25000,0.716,7.152,15.424,0,0,0
"baseline","strict-jit/go-second",25000,5.512,13.608,20.688,0,0,0
"baseline","matchup-flex-jit/go-first",25000,1.096,10.72,22.304,0,0,0
"baseline","strict-jit-turn2-item-lock/go-second",25000,0,2.24,4.368,0,0,0
"turbo/-Mawile+QuickBall","strict-jit/go-first",25000,0.688,7.952,17.1,-0.028,0.8,1.676
"turbo/-Mawile+QuickBall","strict-jit/go-second",25000,5.352,14.848,23.032,-0.16,1.24,2.344
"turbo/-Mawile+QuickBall","matchup-flex-jit/go-first",25000,1.28,11.54,23.9,0.184,0.82,1.596
"turbo/-Mawile+QuickBall","strict-jit-turn2-item-lock/go-second",25000,0,2.448,4.656,0,0.208,0.288
"turbo/-Mawile+Arven","strict-jit/go-first",25000,0.704,8.548,18.288,-0.012,1.396,2.864
"turbo/-Mawile+Arven","strict-jit/go-second",25000,5.804,15.168,23.208,0.292,1.56,2.52
"turbo/-Mawile+Arven","matchup-flex-jit/go-first",25000,1.1,12.412,25.772,0.004,1.692,3.468
"turbo/-Mawile+Arven","strict-jit-turn2-item-lock/go-second",25000,0,2.444,4.528,0,0.204,0.16
"turbo/-Mawile+Crispin","strict-jit/go-first",25000,1.004,9.468,19.408,0.288,2.316,3.984
"turbo/-Mawile+Crispin","strict-jit/go-second",25000,5.936,15.872,24.2,0.424,2.264,3.512
"turbo/-Mawile+Crispin","matchup-flex-jit/go-first",25000,1.604,13.18,25.66,0.508,2.46,3.356
"turbo/-Mawile+Crispin","strict-jit-turn2-item-lock/go-second",25000,0,2.88,5.536,0,0.64,1.168
"turbo/-Mawile+Stevens","strict-jit/go-first",25000,0.684,7.396,16.008,-0.032,0.244,0.584
"turbo/-Mawile+Stevens","strict-jit/go-second",25000,7.328,17.644,24.892,1.816,4.036,4.204
"turbo/-Mawile+Stevens","matchup-flex-jit/go-first",25000,1.084,10.84,22.136,-0.012,0.12,-0.168
"turbo/-Mawile+Stevens","strict-jit-turn2-item-lock/go-second",25000,0,3.168,5.7,0,0.928,1.332
"turbo/-Mawile+EvolutionIncense","strict-jit/go-first",25000,0.744,8.14,17.044,0.028,0.988,1.62
"turbo/-Mawile+EvolutionIncense","strict-jit/go-second",25000,5.528,15.26,23.056,0.016,1.652,2.368
"turbo/-Mawile+EvolutionIncense","matchup-flex-jit/go-first",25000,1.216,11.724,23.416,0.12,1.004,1.112
"turbo/-Mawile+EvolutionIncense","strict-jit-turn2-item-lock/go-second",25000,0,2.78,5.156,0,0.54,0.788
"turbo/-Mawile+UltraBall","strict-jit/go-first",25000,0.776,7.352,15.952,0.06,0.2,0.528
"turbo/-Mawile+UltraBall","strict-jit/go-second",25000,5.392,14.3,21.52,-0.12,0.692,0.832
"turbo/-Mawile+UltraBall","matchup-flex-jit/go-first",25000,1.168,11.476,23.496,0.072,0.756,1.192
"turbo/-Mawile+UltraBall","strict-jit-turn2-item-lock/go-second",25000,0,2.528,4.696,0,0.288,0.328
"turbo/-Tate+UltraBall","strict-jit/go-first",25000,0.596,6.656,13.656,-0.12,-0.496,-1.768
"turbo/-Tate+UltraBall","strict-jit/go-second",25000,5.168,13.456,19.66,-0.344,-0.152,-1.028
"turbo/-Tate+UltraBall","matchup-flex-jit/go-first",25000,1.16,10.18,20.58,0.064,-0.54,-1.724
"turbo/-Tate+UltraBall","strict-jit-turn2-item-lock/go-second",25000,0,2.212,3.888,0,-0.028,-0.48
"turbo/-Guzma+QuickBall","strict-jit/go-first",25000,0.712,7.468,15.988,-0.004,0.316,0.564
"turbo/-Guzma+QuickBall","strict-jit/go-second",25000,5.304,14.124,21.6,-0.208,0.516,0.912
"turbo/-Guzma+QuickBall","matchup-flex-jit/go-first",25000,1.156,10.976,22.952,0.06,0.256,0.648
"turbo/-Guzma+QuickBall","strict-jit-turn2-item-lock/go-second",25000,0,2.296,4.424,0,0.056,0.056
"turbo/-FieldBlower+QuickBall","strict-jit/go-first",25000,0.648,7.244,16.128,-0.068,0.092,0.704
"turbo/-FieldBlower+QuickBall","strict-jit/go-second",25000,5.188,14.22,21.508,-0.324,0.612,0.82
"turbo/-FieldBlower+QuickBall","matchup-flex-jit/go-first",25000,1.076,10.788,22.872,-0.02,0.068,0.568
"turbo/-FieldBlower+QuickBall","strict-jit-turn2-item-lock/go-second",25000,0,2.42,4.416,0,0.18,0.048
"turbo/-Mawile,-Tate+QuickBall,+Crispin","strict-jit/go-first",25000,1.108,8.86,17.672,0.392,1.708,2.248
"turbo/-Mawile,-Tate+QuickBall,+Crispin","strict-jit/go-second",25000,5.924,16.072,23.856,0.412,2.464,3.168
"turbo/-Mawile,-Tate+QuickBall,+Crispin","matchup-flex-jit/go-first",25000,1.632,13.052,24.684,0.536,2.332,2.38
"turbo/-Mawile,-Tate+QuickBall,+Crispin","strict-jit-turn2-item-lock/go-second",25000,0,2.684,5.084,0,0.444,0.716
"turbo/-Mawile,-Guzma+QuickBall,+Arven","strict-jit/go-first",25000,0.696,8.532,19.028,-0.02,1.38,3.604
"turbo/-Mawile,-Guzma+QuickBall,+Arven","strict-jit/go-second",25000,5.46,15.464,23.908,-0.052,1.856,3.22
"turbo/-Mawile,-Guzma+QuickBall,+Arven","matchup-flex-jit/go-first",25000,1.28,12.9,27.388,0.184,2.18,5.084
"turbo/-Mawile,-Guzma+QuickBall,+Arven","strict-jit-turn2-item-lock/go-second",25000,0,2.4,4.636,0,0.16,0.268
"turbo/-Mawile,-Tate+UltraBall,+Crispin","strict-jit/go-first",25000,0.956,8.884,17.528,0.24,1.732,2.104
